"id","age_months","age_years","age_years_cont","age_zscored","stim_set","highest_count","knower_level","knower_level_cp_subset","trial","magnitude","set_chosen","count","correction_after_prompt","final_count","set_asked","n_bunnies","n_lions","trial_ratio","correct_set_chosen","target_count","correct_count","correct_set_chosen_or_correct_count","correct_count_when_correct_set_chosen","count_error","correct_count_approx"
"276fa18a-8247-4f94-acc1-8580b680b1d1",36,3,3.0027397260274,-1.29313093376625,6,4,"2","subset",3,"small","bunny",3,NA,3,"bunny",3,1,"1-3",1,3,1,1,1,0,1
"276fa18a-8247-4f94-acc1-8580b680b1d1",36,3,3.0027397260274,-1.29313093376625,6,4,"2","subset",4,"large","bunny",4,NA,4,"bunny",6,7,"6-7",1,6,0,1,0,-2,0
"276fa18a-8247-4f94-acc1-8580b680b1d1",36,3,3.0027397260274,-1.29313093376625,6,4,"2","subset",5,"small","lion",1,2,2,"lion",3,2,"2-3",1,2,1,1,1,0,1
"276fa18a-8247-4f94-acc1-8580b680b1d1",36,3,3.0027397260274,-1.29313093376625,6,4,"2","subset",6,"large",NA,4,NA,4,"bunny",7,5,"5-7",0,7,0,0,0,-3,0
"6c756189-38db-47b5-9bae-43e4e223e755",36,3,3.03835616438356,-1.25275456259064,4,5,"3","subset",1,"large",NA,4,NA,4,"bunny",5,8,"5-8",0,5,0,0,0,-1,1
"6c756189-38db-47b5-9bae-43e4e223e755",36,3,3.03835616438356,-1.25275456259064,4,5,"3","subset",2,"large","bunny",4,NA,4,"lion",6,7,"6-7",0,7,0,0,0,-3,0
"6c756189-38db-47b5-9bae-43e4e223e755",36,3,3.03835616438356,-1.25275456259064,4,5,"3","subset",3,"small","lion",4,NA,4,"lion",1,2,"1-2",1,2,0,1,0,2,0
"6c756189-38db-47b5-9bae-43e4e223e755",36,3,3.03835616438356,-1.25275456259064,4,5,"3","subset",4,"large","bunny",4,2,2,"bunny",7,5,"5-7",1,7,0,1,0,-5,0
"6c756189-38db-47b5-9bae-43e4e223e755",36,3,3.03835616438356,-1.25275456259064,4,5,"3","subset",5,"small",NA,2,NA,2,"lion",3,2,"2-3",0,2,1,1,0,0,1
"6c756189-38db-47b5-9bae-43e4e223e755",36,3,3.03835616438356,-1.25275456259064,4,5,"3","subset",6,"small",NA,4,NA,4,"bunny",3,1,"1-3",0,3,0,0,0,1,1
"6b2c6cec-5132-4c4f-bf33-67dbd7b74994",46,3,3.83561643835616,-0.348945023198361,6,29,"CP","CP",1,"large",NA,4,NA,4,"lion",8,5,"5-8",0,5,0,0,0,-1,1
"6b2c6cec-5132-4c4f-bf33-67dbd7b74994",46,3,3.83561643835616,-0.348945023198361,6,29,"CP","CP",2,"small",NA,2,NA,2,"lion",1,2,"1-2",0,2,1,1,0,0,1
"6b2c6cec-5132-4c4f-bf33-67dbd7b74994",46,3,3.83561643835616,-0.348945023198361,6,29,"CP","CP",3,"small",NA,1,NA,1,"bunny",3,1,"1-3",0,3,0,0,0,-2,0
"6b2c6cec-5132-4c4f-bf33-67dbd7b74994",46,3,3.83561643835616,-0.348945023198361,6,29,"CP","CP",4,"large","bunny",6,NA,6,"bunny",6,7,"6-7",1,6,1,1,1,0,1
"6b2c6cec-5132-4c4f-bf33-67dbd7b74994",46,3,3.83561643835616,-0.348945023198361,6,29,"CP","CP",5,"small","lion",2,NA,2,"lion",3,2,"2-3",1,2,1,1,1,0,1
"6b2c6cec-5132-4c4f-bf33-67dbd7b74994",46,3,3.83561643835616,-0.348945023198361,6,29,"CP","CP",6,"large",NA,20,NA,20,"bunny",7,5,"5-7",0,7,0,0,0,13,0
