"id","age_months","age_years","stim_set","highest_count","knower_level","knower_level_cp_subset","trial","magnitude","set_chosen","count","correction_after_prompt","final_count","set_asked","n_bunnies","n_lions","trial_ratio","correct_set_chosen","target_count","correct_count","correct_set_chosen_or_correct_count","correct_count_when_correct_set_chosen","count_error","correct_count_approx"
"ffe2a232-1a05-4e92-adea-52eaf33d0366",38,3,5,10,"5","subset",4,"small","lion",3,NA,3,"lion",2,3,"2-3",1,3,1,1,1,0,1
"ffe2a232-1a05-4e92-adea-52eaf33d0366",38,3,5,10,"5","subset",5,"large","bunny",4,5,5,"bunny",5,8,"5-8",1,5,1,1,1,0,1
"ffe2a232-1a05-4e92-adea-52eaf33d0366",38,3,5,10,"5","subset",6,"large","bunny",7,NA,7,"bunny",7,5,"5-7",1,7,1,1,1,0,1
"f5d16a9c-a0d2-4b1f-abcb-8869e54838c7",36,3,6,4,"2","subset",1,"large","lion",5,NA,5,"lion",8,5,"5-8",1,5,1,1,1,0,1
"f5d16a9c-a0d2-4b1f-abcb-8869e54838c7",36,3,6,4,"2","subset",2,"small","lion",2,NA,2,"lion",1,2,"1-2",1,2,1,1,1,0,1
"f5d16a9c-a0d2-4b1f-abcb-8869e54838c7",36,3,6,4,"2","subset",3,"small","bunny",3,NA,3,"bunny",3,1,"1-3",1,3,1,1,1,0,1
"f5d16a9c-a0d2-4b1f-abcb-8869e54838c7",36,3,6,4,"2","subset",4,"large","bunny",4,NA,4,"bunny",6,7,"6-7",1,6,0,1,0,-2,0
"f5d16a9c-a0d2-4b1f-abcb-8869e54838c7",36,3,6,4,"2","subset",5,"small","lion",1,2,2,"lion",3,2,"2-3",1,2,1,1,1,0,1
"f5d16a9c-a0d2-4b1f-abcb-8869e54838c7",36,3,6,4,"2","subset",6,"large",NA,4,NA,4,"bunny",7,5,"5-7",0,7,0,0,0,-3,0
"511fc608-fcc1-480b-a328-fc584a7b4380",36,3,4,5,"3","subset",1,"large",NA,4,NA,4,"bunny",5,8,"5-8",0,5,0,0,0,-1,1
"511fc608-fcc1-480b-a328-fc584a7b4380",36,3,4,5,"3","subset",2,"large","bunny",4,NA,4,"lion",6,7,"6-7",0,7,0,0,0,-3,0
"511fc608-fcc1-480b-a328-fc584a7b4380",36,3,4,5,"3","subset",3,"small","lion",4,NA,4,"lion",1,2,"1-2",1,2,0,1,0,2,0
"511fc608-fcc1-480b-a328-fc584a7b4380",36,3,4,5,"3","subset",4,"large","bunny",4,2,2,"bunny",7,5,"5-7",1,7,0,1,0,-5,0
"511fc608-fcc1-480b-a328-fc584a7b4380",36,3,4,5,"3","subset",5,"small",NA,2,NA,2,"lion",3,2,"2-3",0,2,1,1,0,0,1
"511fc608-fcc1-480b-a328-fc584a7b4380",36,3,4,5,"3","subset",6,"small",NA,4,NA,4,"bunny",3,1,"1-3",0,3,0,0,0,1,1
"31189271-b3aa-4901-bf22-239f8b61fc02",46,3,6,29,"CP","CP",1,"large",NA,4,NA,4,"lion",8,5,"5-8",0,5,0,0,0,-1,1
"31189271-b3aa-4901-bf22-239f8b61fc02",46,3,6,29,"CP","CP",2,"small",NA,2,NA,2,"lion",1,2,"1-2",0,2,1,1,0,0,1
"31189271-b3aa-4901-bf22-239f8b61fc02",46,3,6,29,"CP","CP",3,"small",NA,1,NA,1,"bunny",3,1,"1-3",0,3,0,0,0,-2,0
"31189271-b3aa-4901-bf22-239f8b61fc02",46,3,6,29,"CP","CP",4,"large","bunny",6,NA,6,"bunny",6,7,"6-7",1,6,1,1,1,0,1
"31189271-b3aa-4901-bf22-239f8b61fc02",46,3,6,29,"CP","CP",5,"small","lion",2,NA,2,"lion",3,2,"2-3",1,2,1,1,1,0,1
"31189271-b3aa-4901-bf22-239f8b61fc02",46,3,6,29,"CP","CP",6,"large",NA,20,NA,20,"bunny",7,5,"5-7",0,7,0,0,0,13,0
"120b6d0f-02e8-4022-9e13-cec68fe2eb37",51,4,6,12,"2","subset",1,"large","bunny",3,NA,3,"lion",8,5,"5-8",0,5,0,0,0,-2,0
"120b6d0f-02e8-4022-9e13-cec68fe2eb37",51,4,6,12,"2","subset",2,"small","lion",2,NA,2,"lion",1,2,"1-2",1,2,1,1,1,0,1
"120b6d0f-02e8-4022-9e13-cec68fe2eb37",51,4,6,12,"2","subset",3,"small","bunny",2,NA,2,"bunny",3,1,"1-3",1,3,0,1,0,-1,1
"120b6d0f-02e8-4022-9e13-cec68fe2eb37",51,4,6,12,"2","subset",4,"large","bunny",2,NA,2,"bunny",6,7,"6-7",1,6,0,1,0,-4,0
"120b6d0f-02e8-4022-9e13-cec68fe2eb37",51,4,6,12,"2","subset",5,"small","lion",2,NA,2,"lion",3,2,"2-3",1,2,1,1,1,0,1
"120b6d0f-02e8-4022-9e13-cec68fe2eb37",51,4,6,12,"2","subset",6,"large","bunny",2,NA,2,"bunny",7,5,"5-7",1,7,0,1,0,-5,0
"fe78c609-3d7a-45c9-aadf-959883fbf311",42,3,1,10,"4","subset",1,"small","lion",1,NA,1,"lion",3,1,"1-3",1,1,1,1,1,0,1
"fe78c609-3d7a-45c9-aadf-959883fbf311",42,3,1,10,"4","subset",2,"large","lion",5,NA,5,"lion",5,7,"5-7",1,7,0,1,0,-2,0
"fe78c609-3d7a-45c9-aadf-959883fbf311",42,3,1,10,"4","subset",3,"large","lion",5,NA,5,"bunny",6,7,"6-7",0,6,0,0,0,-1,1
"fe78c609-3d7a-45c9-aadf-959883fbf311",42,3,1,10,"4","subset",4,"small","bunny",2,NA,2,"bunny",2,3,"2-3",1,2,1,1,1,0,1
"fe78c609-3d7a-45c9-aadf-959883fbf311",42,3,1,10,"4","subset",5,"small","lion",2,NA,2,"lion",1,2,"1-2",1,2,1,1,1,0,1
"fe78c609-3d7a-45c9-aadf-959883fbf311",42,3,1,10,"4","subset",6,"large","bunny",4,NA,4,"bunny",8,5,"5-8",1,8,0,1,0,-4,0
"7106a5ae-025d-422b-82e0-7e758e26bf74",50,4,6,11,"CP","CP",1,"large","lion",4,NA,4,"lion",8,5,"5-8",1,5,0,1,0,-1,1
"7106a5ae-025d-422b-82e0-7e758e26bf74",50,4,6,11,"CP","CP",2,"small","lion",2,NA,2,"lion",1,2,"1-2",1,2,1,1,1,0,1
